symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
OPRM1	0.606365851218933	No data	No data	0.9678028595630326	No data	0.4148792362007593	No data	0.3995532288986078	opioid receptor mu 1
GABRP	0.6063297215843626	0.13573787215002495	No data	0.9634318834723226	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit pi
GABRB3	0.605166163422737	No data	No data	0.9634318834723226	No data	0.6404100642842475	No data	No data	gamma-aminobutyric acid type A receptor subunit beta3
GABRG3	0.6028671389273212	No data	No data	0.9717102714420554	No data	0.3992078904316312	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma3
HTR2C	0.6009531319135432	No data	No data	0.9413372717773131	No data	0.7314530075556688	No data	0.4775556423314143	5-hydroxytryptamine receptor 2C
GABRA5	0.5996887293634615	No data	No data	0.9717102714420554	No data	0.10048927214854092	No data	0.24998114397789856	gamma-aminobutyric acid type A receptor subunit alpha5
ADRB3	0.595955427674611	0.3742151798631534	No data	0.8649461644478876	No data	0.8187712609542981	No data	0.2885239565464754	adrenoceptor beta 3
GABRD	0.5955011711100338	No data	No data	0.9634318834723226	No data	No data	No data	0.32244649505320383	gamma-aminobutyric acid type A receptor subunit delta
GABRB2	0.5944460206249089	No data	No data	0.9634318834723226	No data	No data	No data	0.2877336465095803	gamma-aminobutyric acid type A receptor subunit beta2
PNLIP	0.5924800479598804	No data	No data	0.9303501969523184	No data	0.707099015790793	No data	0.39957940369683825	pancreatic lipase
SLC6A4	0.5922840504984904	No data	No data	0.9386262048402236	No data	0.7127216852943444	No data	No data	solute carrier family 6 member 4
GABRA2	0.5916103525200497	No data	No data	0.9717102714420554	No data	0.028876712886552	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha2
PTGS2	0.5911163960742888	No data	No data	0.9180457038216272	No data	0.8484124360621286	No data	0.5343867277207937	prostaglandin-endoperoxide synthase 2
GABRG2	0.5907759833448539	No data	No data	0.9717816331494255	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma2
GABRG1	0.5907326003651735	No data	No data	0.9717102714420554	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma1
GABRA3	0.5907326003651735	No data	No data	0.9717102714420554	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha3
GABRA1	0.5907326003651735	No data	No data	0.9717102714420554	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha1
SCN4A	0.5891715291949484	No data	No data	0.9691424279040111	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 4
FTO	0.588019995190614	0.7508061902408782	No data	No data	No data	0.9858915389493698	No data	0.5465442591832238	FTO alpha-ketoglutarate dependent dioxygenase
VDR	0.587469718525949	No data	No data	0.9214952334868965	No data	0.7023894158615315	No data	0.43777684337834577	vitamin D receptor
GRIA1	0.5872676926864061	No data	No data	0.9227940586622891	No data	0.7336964813675253	No data	0.2939345406452188	glutamate ionotropic receptor AMPA type subunit 1
SCN5A	0.5870599460687144	No data	No data	0.9478110668205711	No data	0.3571593435968274	No data	No data	sodium voltage-gated channel alpha subunit 5
GABRA6	0.5866238630005072	No data	No data	0.9634318834723226	No data	0.030396539880581056	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha6
GABRB1	0.5857628426202173	No data	No data	0.9635353973207228	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit beta1
GABRQ	0.5856999133637955	No data	No data	0.9634318834723226	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit theta
GABRE	0.5856999133637955	No data	No data	0.9634318834723226	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit epsilon
GABRA4	0.5856999133637955	No data	No data	0.9634318834723226	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha4
GRIA2	0.5819269558029999	No data	No data	0.9227940586622891	No data	0.6886319222979037	No data	No data	glutamate ionotropic receptor AMPA type subunit 2
NDUFA13	0.5814324551717681	No data	No data	0.9256539800826149	No data	0.5030627350236164	No data	0.2522304879290616	NADH:ubiquinone oxidoreductase subunit A13
NDUFA6	0.5812125551582308	No data	No data	0.9256539800826149	No data	0.607930797611621	No data	No data	NADH:ubiquinone oxidoreductase subunit A6
SCN9A	0.5771274874740631	No data	No data	0.9478110668205711	No data	0.030396539880581056	No data	No data	sodium voltage-gated channel alpha subunit 9
CEP19	0.5767490465839686	0.6627928452009624	No data	No data	No data	0.07430265304142036	No data	0.5920419970815148	centrosomal protein 19
NR0B2	0.576207009818836	0.7503919497666004	No data	No data	No data	0.16894889577609856	No data	0.3471740802460565	nuclear receptor subfamily 0 group B member 2
SCN7A	0.5762035378373513	No data	No data	0.9478110668205711	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 7
SCN3A	0.5762035378373513	No data	No data	0.9478110668205711	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 3
SCN10A	0.5762035378373513	No data	No data	0.9478110668205711	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 10
SCN8A	0.5762035378373513	No data	No data	0.9478110668205711	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 8
SCN2A	0.5762035378373513	No data	No data	0.9478110668205711	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 2
SCN11A	0.5762035378373513	No data	No data	0.9478110668205711	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 11
GPD2	0.5758396853596812	No data	No data	0.9256539800826149	No data	0.06079307976116211	No data	0.4041523942522057	glycerol-3-phosphate dehydrogenase 2
ADRA2A	0.571879981665385	No data	No data	0.9080885748677753	No data	0.6522114070188427	No data	No data	adrenoceptor alpha 2A
GHR	0.5715948180587159	No data	No data	0.912350871291968	No data	0.17572470502239262	No data	0.47948416004387434	growth hormone receptor
BDNF	0.5712598378043575	0.6779501687821754	No data	No data	No data	0.9535825235703395	No data	0.6242208253840738	brain derived neurotrophic factor
WT1	0.5693119048075467	0.9090887705849584	No data	No data	No data	0.3814991239209791	No data	0.3740007153873293	WT1 transcription factor
NDUFS1	0.5687536009810383	0.03961002522453946	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit S1
LIPF	0.5678063757332075	No data	No data	0.9303501969523184	No data	0.07296351659001477	No data	No data	lipase F, gastric type
NDUFA11	0.5673533106075545	No data	No data	0.9256539800826149	No data	0.15198269940290526	No data	No data	NADH:ubiquinone oxidoreductase subunit A11
NDUFAB1	0.5653277050206701	No data	No data	0.9256539800826149	No data	0.0853433518047114	No data	No data	NADH:ubiquinone oxidoreductase subunit AB1
OPRD1	0.5651069697473188	No data	No data	0.9158100376606468	No data	0.03951550184475537	No data	0.25739789970876037	opioid receptor delta 1
MT-ND3	0.5649202432308802	No data	No data	0.9256539800826149	No data	0.07193847771737516	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
GRIK1	0.5646907266606775	No data	No data	0.9227940586622891	No data	0.12158615952232422	No data	No data	glutamate ionotropic receptor kainate type subunit 1
MT-ND2	0.5634727221333651	No data	No data	0.9256539800826149	No data	0.024317231904464845	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
MT-ND1	0.5634265246515294	No data	No data	0.9256539800826149	No data	0.02279740491043579	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
NDUFA12	0.5632879322060227	No data	No data	0.9256539800826149	No data	0.01823792392834863	No data	No data	NADH:ubiquinone oxidoreductase subunit A12
MT-ND6	0.5632879322060227	No data	No data	0.9256539800826149	No data	0.01823792392834863	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
NDUFS2	0.5632879322060227	No data	No data	0.9256539800826149	No data	0.01823792392834863	No data	No data	NADH:ubiquinone oxidoreductase core subunit S2
NDUFA4	0.5631955372423516	No data	No data	0.9256539800826149	No data	0.015198269940290528	No data	No data	NDUFA4 mitochondrial complex associated
NDUFB8	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B8
NDUFB11	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B11
NDUFS8	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit S8
MT-ND4L	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
NDUFB7	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B7
NDUFB2	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B2
NDUFS5	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit S5
NDUFC2	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit C2
NDUFS7	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit S7
NDUFB1	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B1
NDUFB10	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B10
MT-ND5	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
NDUFA4L2	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NDUFA4 mitochondrial complex associated like 2
NDUFAF2	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 2
NDUFA2	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A2
NDUFB6	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B6
NDUFAF3	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 3
NDUFS4	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit S4
NDUFS6	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit S6
NDUFV2	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit V2
NDUFV1	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit V1
MT-ND4	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
NDUFAF4	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 4
NDUFA5	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A5
NDUFAF1	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 1
NDUFC1	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit C1
NDUFB3	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B3
NDUFA7	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A7
NDUFA8	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A8
NDUFA1	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A1
NDUFB5	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B5
NDUFV3	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit V3
NDUFA9	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A9
NDUFS3	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit S3
NDUFA10	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A10
NDUFB4	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B4
NDUFA3	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A3
NDUFB9	0.5627335624239956	No data	No data	0.9256539800826149	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B9
OPRK1	0.5624724813498413	No data	No data	0.9158100376606468	No data	0.1882896775935993	No data	No data	opioid receptor kappa 1
CA2	0.5617494869838118	No data	No data	0.9227940586622891	No data	0.024823840902474525	No data	No data	carbonic anhydrase 2
SSTR5	0.5616327338805969	No data	No data	0.899431643005668	No data	0.054600000155475864	No data	0.46396448751186853	somatostatin receptor 5
GRIA3	0.5613645079685151	No data	No data	0.9227940586622891	No data	0.012158615952232422	No data	No data	glutamate ionotropic receptor AMPA type subunit 3
CA4	0.5609949281138304	No data	No data	0.9227940586622891	No data	No data	No data	No data	carbonic anhydrase 4
GRIK5	0.5609949281138304	No data	No data	0.9227940586622891	No data	No data	No data	No data	glutamate ionotropic receptor kainate type subunit 5
GRIK2	0.5609949281138304	No data	No data	0.9227940586622891	No data	No data	No data	No data	glutamate ionotropic receptor kainate type subunit 2
GRIK4	0.5609949281138304	No data	No data	0.9227940586622891	No data	No data	No data	No data	glutamate ionotropic receptor kainate type subunit 4
GRIK3	0.5609949281138304	No data	No data	0.9227940586622891	No data	No data	No data	No data	glutamate ionotropic receptor kainate type subunit 3
NR1H4	0.5608658120242055	No data	No data	0.8695774581170227	No data	0.864907677264006	No data	0.43914737334682086	nuclear receptor subfamily 1 group H member 4
PTGS1	0.5605051172275717	No data	No data	0.9175935238895193	No data	0.08789666115468021	No data	No data	prostaglandin-endoperoxide synthase 1
FAAH	0.5589291688945179	No data	No data	0.8862633750410096	No data	0.6626533313003078	No data	No data	fatty acid amide hydrolase
SH2B1	0.5579464716012129	0.638602421688596	No data	No data	No data	0.7984517547977209	No data	0.40868316739107224	SH2B adaptor protein 1
OXTR	0.5547340039099448	No data	No data	0.8847719199008057	No data	0.4373128576633204	No data	0.2635987938443989	oxytocin receptor
ADRA2B	0.5544435240933375	No data	No data	0.9080885748677753	No data	0.0785784329846221	No data	No data	adrenoceptor alpha 2B
TRPV1	0.5530056896416431	No data	No data	0.8862633750410096	No data	0.46777985964378443	No data	No data	transient receptor potential cation channel subfamily V member 1
ADRA2C	0.5520550116213669	No data	No data	0.9080885748677753	No data	No data	No data	No data	adrenoceptor alpha 2C
SSTR2	0.5486400954029901	No data	No data	0.899431643005668	No data	0.06079307976116211	No data	No data	somatostatin receptor 2
SSTR3	0.5475414904769863	No data	No data	0.899431643005668	No data	0.024650646105229785	No data	No data	somatostatin receptor 3
SSTR4	0.5467921961295665	No data	No data	0.899431643005668	No data	No data	No data	No data	somatostatin receptor 4
SSTR1	0.5467921961295665	No data	No data	0.899431643005668	No data	No data	No data	No data	somatostatin receptor 1
ESR1	0.5371237709961382	No data	No data	0.8255183283608661	No data	0.9290134989668458	No data	0.5201466527465675	estrogen receptor 1
TRAPPC9	0.5355576669508814	0.6414290252351185	No data	No data	No data	0.381307705835289	No data	0.3876048556805494	trafficking protein particle complex subunit 9
ADRB1	0.5338534812113586	No data	No data	0.8690588126405372	No data	0.1817925360287038	No data	No data	adrenoceptor beta 1
TLR9	0.5298782792755651	No data	No data	0.865457038266544	No data	0.12304991680922284	No data	No data	toll like receptor 9
ADRB2	0.5277209605445123	No data	No data	0.828427984107486	No data	0.7926584899768027	No data	No data	adrenoceptor beta 2
TLR7	0.5268771472813407	No data	No data	0.865457038266544	No data	0.024317231904464845	No data	No data	toll like receptor 7
HTR3A	0.5235143812479929	No data	No data	0.8274613634158176	No data	0.558283115806672	No data	0.2594648644206399	5-hydroxytryptamine receptor 3A
SERPINC1	0.5229854369001645	No data	No data	0.8581787556618048	No data	0.041851522651356374	No data	No data	serpin family C member 1
MRAP2	0.5215286219765952	0.6693318081703948	No data	No data	No data	0.6112139022558605	No data	0.6102152393073856	melanocortin 2 receptor accessory protein 2
SLC5A2	0.5145680817139608	No data	No data	0.7963611041957865	No data	0.8295657131789069	No data	0.3863714316400618	solute carrier family 5 member 2
ADRA1B	0.5134330719452532	No data	No data	0.8204760266025976	No data	0.01823792392834863	No data	0.47354205966476864	adrenoceptor alpha 1B
SLC18A2	0.5127727732352102	No data	No data	0.8425603793483347	No data	0.01823792392834863	No data	No data	solute carrier family 18 member A2
PDE5A	0.5120379996677104	No data	No data	0.8399239447668558	No data	0.046793681059903065	No data	No data	phosphodiesterase 5A
HTR2A	0.5084772944559958	No data	No data	0.8274613634158176	No data	0.1789035141230802	No data	No data	5-hydroxytryptamine receptor 2A
TFAP2B	0.505699051553644	0.8114258238571268	No data	No data	No data	0.2941935345361676	No data	0.2565467965921041	transcription factor AP-2 beta
CHRNB1	0.5030392466541774	No data	No data	0.8274613634158176	No data	No data	No data	No data	cholinergic receptor nicotinic beta 1 subunit
CHRND	0.5030392466541774	No data	No data	0.8274613634158176	No data	No data	No data	No data	cholinergic receptor nicotinic delta subunit
CHRNG	0.5030392466541774	No data	No data	0.8274613634158176	No data	No data	No data	No data	cholinergic receptor nicotinic gamma subunit
CHRNA1	0.5030392466541774	No data	No data	0.8274613634158176	No data	No data	No data	No data	cholinergic receptor nicotinic alpha 1 subunit
CHRNE	0.5030392466541774	No data	No data	0.8274613634158176	No data	No data	No data	No data	cholinergic receptor nicotinic epsilon subunit
DPP4	0.5023545159239575	No data	No data	0.7734230702947845	No data	0.8679812163345043	No data	0.42808060110709883	dipeptidyl peptidase 4
ESR2	0.5016248623418349	0.19453785523571876	No data	0.7599134970145264	No data	0.7464081508715711	No data	No data	estrogen receptor 2
ADRA1A	0.49879264527373074	No data	No data	0.8204760266025976	No data	No data	No data	No data	adrenoceptor alpha 1A
ADRA1D	0.49879264527373074	No data	No data	0.8204760266025976	No data	No data	No data	No data	adrenoceptor alpha 1D
PAX6	0.48932293029549634	0.7714295808193199	No data	No data	No data	0.12801555721795613	No data	0.6124938709702816	paired box 6
ENPP1	0.48431412501002874	0.7596215402574046	No data	No data	No data	0.7407683982071132	No data	No data	ectonucleotide pyrophosphatase/phosphodiesterase 1
MYT1L	0.48338269768206227	0.7599134970145264	No data	No data	No data	0.7042867184979028	No data	No data	myelin transcription factor 1 like
GIPR	0.4832913404848354	0.6244862749197622	No data	0.6257713608769049	No data	0.5888082456077912	No data	No data	gastric inhibitory polypeptide receptor
HTR1D	0.4662249866847513	No data	No data	0.7659928049906426	No data	0.01823792392834863	No data	No data	5-hydroxytryptamine receptor 1D
GLDC	0.46464400619526675	0.7612644543425522	No data	No data	No data	0.06079307976116211	No data	No data	glycine decarboxylase
UCP3	0.4590167564170782	0.5972514456919064	No data	No data	No data	0.38175311813117296	No data	No data	uncoupling protein 3
ADORA2A	0.4560525170405137	No data	No data	0.7458588021134505	No data	0.08625917872022526	No data	No data	adenosine A2a receptor
ADORA2B	0.45537083071157286	No data	No data	0.7458588021134505	No data	0.06383273374922022	No data	No data	adenosine A2b receptor
NRXN3	0.4460007379231033	0.7243762145770066	No data	No data	No data	0.1852226617416313	No data	No data	neurexin 3
HMGCR	0.44243047501667565	No data	No data	0.7210734738337838	No data	0.13382124900734857	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
NEGR1	0.4416142661988383	0.689668309481095	No data	No data	No data	0.7350725054996206	No data	No data	neuronal growth regulator 1
PTGER3	0.44016174864353896	No data	No data	0.7143186871936548	No data	0.19427932956234664	No data	No data	prostaglandin E receptor 3
TTC8	0.4399960070588487	0.5738866729453702	No data	No data	No data	0.05302507512501362	No data	0.25824900282541663	tetratricopeptide repeat domain 8
POGZ	0.43541639935395154	0.7129677298656288	No data	No data	No data	0.06518369107724604	No data	No data	pogo transposable element derived with ZNF domain
NUDC	0.4330326092912353	0.7123057607748964	No data	No data	No data	No data	No data	No data	nuclear distribution C, dynein complex regulator
TMEM18	0.42663358700943005	0.6691041213264612	No data	No data	No data	0.42126764261566246	No data	0.46628461046477343	transmembrane protein 18
CC2D1A	0.4253864127420917	0.6991204172533643	No data	No data	No data	0.012158615952232422	No data	No data	coiled-coil and C2 domain containing 1A
PDE3B	0.4216997419679663	No data	No data	0.6594360457426056	No data	0.3218774042787728	No data	0.541503552381719	phosphodiesterase 3B
PIGX	0.41706059990461136	0.686033018138114	No data	No data	No data	No data	No data	No data	phosphatidylinositol glycan anchor biosynthesis class X
SEC16B	0.4139998009696519	0.6685923398935348	No data	No data	No data	0.2481179282505584	No data	No data	SEC16 homolog B, endoplasmic reticulum export factor
ELP4	0.412550113089501	0.6786136098225118	No data	No data	No data	No data	No data	No data	elongator acetyltransferase complex subunit 4
PDE4A	0.4072807043893737	No data	No data	0.6618677689330521	No data	0.16156127400594603	No data	No data	phosphodiesterase 4A
PDE4B	0.40546503196387884	No data	No data	0.6618677689330521	No data	0.10182840859994653	No data	No data	phosphodiesterase 4B
NR3C1	0.4052524404246053	No data	No data	0.6231290675519116	No data	0.6820001151275996	No data	0.42211886019245415	nuclear receptor subfamily 3 group C member 1
KCNK3	0.40486831449016913	No data	No data	0.6518369107724603	No data	0.28281447313890623	No data	No data	potassium two pore domain channel subfamily K member 3
HERC2	0.40398439934751607	0.6645236611381597	No data	No data	No data	No data	No data	No data	HECT and RLD domain containing E3 ubiquitin protein ligase 2
PDE4D	0.40384042051932734	No data	No data	0.6618677689330521	No data	0.048381159309924836	No data	No data	phosphodiesterase 4D
PDE4C	0.40236980068089445	No data	No data	0.6618677689330521	No data	No data	No data	No data	phosphodiesterase 4C
PDE3A	0.40181543089886745	No data	No data	0.6594360457426056	No data	0.030396539880581056	No data	No data	phosphodiesterase 3A
NOS3	0.40082776015865756	No data	No data	0.607930797611621	No data	0.7826997905291738	No data	0.5519449002515675	nitric oxide synthase 3
ACHE	0.3991556946514565	No data	No data	0.6450821241323312	No data	0.22434302254143124	0.01266899905188217	No data	acetylcholinesterase (Cartwright blood group)
NOS2	0.39664061724374466	No data	No data	0.607930797611621	No data	0.6810491666463161	No data	0.4707198571352698	nitric oxide synthase 2
KCNK10	0.39627173307859687	No data	No data	0.6518369107724603	No data	No data	No data	No data	potassium two pore domain channel subfamily K member 10
KCNK2	0.39627173307859687	No data	No data	0.6518369107724603	No data	No data	No data	No data	potassium two pore domain channel subfamily K member 2
ALDH5A1	0.39627173307859687	No data	No data	0.6518369107724603	No data	No data	No data	No data	aldehyde dehydrogenase 5 family member A1
KCNK9	0.39627173307859687	No data	No data	0.6518369107724603	No data	No data	No data	No data	potassium two pore domain channel subfamily K member 9
GLRA1	0.39627173307859687	No data	No data	0.6518369107724603	No data	No data	No data	No data	glycine receptor alpha 1
KCNK18	0.39627173307859687	No data	No data	0.6518369107724603	No data	No data	No data	No data	potassium two pore domain channel subfamily K member 18
FSHR	0.3923787516525794	No data	No data	0.607930797611621	No data	0.380239923596219	No data	0.5810535648255872	follicle stimulating hormone receptor
CYP19A1	0.3912517256863834	No data	No data	0.607930797611621	No data	0.41989662608991285	No data	0.526350921000978	cytochrome P450 family 19 subfamily A member 1
LHCGR	0.3896109619483785	No data	No data	0.607930797611621	No data	0.1069485368731644	No data	0.6114603254381004	luteinizing hormone/choriogonadotropin receptor
BBS2	0.3885339722463598	0.607930797611621	No data	No data	No data	0.38929868038088555	No data	0.4505400471549624	Bardet-Biedl syndrome 2
